"REF_DATE","GEO","DGUID","Stock market statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1953-01","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","184.9","","","","1"
"1953-01","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","138.4","","","","1"
"1953-02","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","219.4","","","","1"
"1953-02","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","163.2","","","","1"
"1953-03","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","220.4","","","","1"
"1953-03","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","109.9","","","","1"
"1953-04","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","158.2","","","","1"
"1953-04","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","82.0","","","","1"
"1953-05","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","120.5","","","","1"
"1953-05","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","65.8","","","","1"
"1953-06","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","135.3","","","","1"
"1953-06","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","70.2","","","","1"
"1953-07","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","98.9","","","","1"
"1953-07","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","58.9","","","","1"
"1953-08","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","95.4","","","","1"
"1953-08","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","57.2","","","","1"
"1953-09","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","104.8","","","","1"
"1953-09","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","55.3","","","","1"
"1953-10","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","100.8","","","","1"
"1953-10","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","60.0","","","","1"
"1953-11","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","106.8","","","","1"
"1953-11","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","56.9","","","","1"
"1953-12","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","107.3","","","","1"
"1953-12","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","54.5","","","","1"
"1954-01","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","133.9","","","","1"
"1954-01","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","67.0","","","","1"
"1954-01","Canada","2016A000011124","New York Stock Exchange, value of shares traded","Dollars","81","millions","6","v37417","1.6","1296","","","t","0"
"1954-01","Canada","2016A000011124","New York Stock Exchange, customers' free credit balance","Dollars","81","millions","6","v37420","1.9","741","","","","0"
"1954-02","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","147.3","","","","1"
"1954-02","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","61.5","","","","1"
"1954-02","Canada","2016A000011124","New York Stock Exchange, value of shares traded","Dollars","81","millions","6","v37417","1.6","1458","","","t","0"
